timestamp,voltage_v,current_a,power_w
2026-04-14T22:47:40.735626,0,0,0
2026-04-14T22:47:41.247749,13294,753,10
2026-04-14T22:47:41.744125,0,0,0
2026-04-14T22:47:42.240363,13295,763,10
2026-04-14T22:47:42.736943,0,0,0
2026-04-14T22:54:58.208069,13294,767,10
2026-04-14T22:54:58.704356,0,0,0
2026-04-14T22:54:59.216483,13293,776,10
2026-04-14T22:54:59.712508,0,0,0
2026-04-14T22:55:00.209135,13294,769,10
2026-04-14T22:55:00.705863,0,0,0
2026-04-14T22:55:01.217636,13294,765,10
2026-04-14T22:55:01.713671,0,0,0
2026-04-14T22:55:02.210294,13295,773,10
2026-04-14T22:55:02.706350,0,0,0
2026-04-14T22:55:03.202802,13295,771,10
2026-04-14T22:55:03.714850,0,0,0
2026-04-14T22:55:04.211417,13295,771,10
2026-04-14T22:55:04.707641,0,0,0
2026-04-14T22:55:05.204008,13294,769,10
2026-04-14T22:55:05.700265,0,0,0
2026-04-14T22:55:06.212452,13295,770,10
2026-04-14T22:55:06.708989,0,0,0
2026-04-14T22:55:07.205102,13296,777,10
2026-04-14T22:55:07.701605,0,0,0
2026-04-14T22:55:08.213865,13295,767,10
2026-04-14T22:55:08.710211,0,0,0
2026-04-14T22:55:09.206568,13296,774,10
2026-04-14T22:55:09.702905,0,0,0
2026-04-14T22:55:10.215279,13295,779,10
2026-04-14T22:55:10.711625,0,0,0
2026-04-14T22:55:11.207753,13295,768,10
2026-04-14T22:55:11.704200,0,0,0
2026-04-14T22:55:12.200571,13295,772,10
2026-04-14T23:21:34.665190,0,0,0
2026-04-14T23:21:35.161462,13294,775,10
2026-04-14T23:21:35.657630,0,0,0
2026-04-14T23:21:36.170239,13294,780,10
2026-04-14T23:21:36.666688,0,0,0
2026-04-14T23:21:37.162980,13295,788,10
